"package","firstDownload","lastDownload","totalDownloads"
"diffractometry","2013-12-11","2016-10-02",8935
"diffusionMap","2014-02-20","2016-10-02",9218
"DiffusionRgqd","2016-08-26","2016-10-02",258
"DiffusionRimp","2016-08-24","2016-10-02",220
"DiffusionRjgqd","2016-08-16","2016-10-02",275
"DIFlasso","2016-07-21","2016-10-02",701
"difNLR","2016-06-21","2016-10-02",638
"difR","2015-04-29","2016-10-02",7244
"DIFtree","2016-07-21","2016-10-02",492
"digest","2016-08-02","2016-10-02",503944
"Digiroo2","2013-02-22","2016-10-02",9550
"digitalPCR","2016-03-09","2016-10-02",1202
"digitize","2016-08-27","2016-10-02",218
"dils","2013-11-25","2016-10-02",7638
"DIME","2013-12-09","2016-10-02",8815
"dina","2015-10-28","2016-10-02",2088
"dinamic","2012-11-01","2016-10-02",8972
"diptest","2015-06-08","2016-10-02",135189
"DIRECT","2016-04-01","2016-10-02",1220
"Directional","2016-08-01","2016-10-02",517
"directlabels","2015-12-18","2016-10-02",16094
"directPA","2016-03-23","2016-10-02",1161
"DirichletReg","2015-11-12","2016-10-02",3536
"dirmult","2013-04-24","2016-10-02",12695
"Disake","2015-01-26","2016-10-02",5090
"discgolf","2016-04-22","2016-10-02",979
"disclap","2014-04-07","2016-10-02",7836
"disclapmix","2015-09-10","2016-10-02",3159
"DiscML","2014-07-26","2016-10-02",8610
"discretecdAlgorithm","2016-08-12","2016-10-02",200
"DiscreteInverseWeibull","2016-05-01","2016-10-02",1347
"DiscreteLaplace","2016-05-01","2016-10-02",1391
"discreteMTP","2012-10-10","2016-10-02",8999
"discreteRV","2015-09-16","2016-10-02",3266
"DiscreteWeibull","2015-10-19","2016-10-02",3376
"discretization","2012-11-01","2016-10-02",18128
"discrimARTs","2013-12-08","2016-10-02",7341
"DiscriMiner","2013-11-15","2016-10-02",16441
"discSurv","2016-05-10","2016-10-02",919
"diseasemapping","2016-09-20","2016-10-02",284
"DisimForMixed","2016-06-06","2016-10-02",638
"diskImageR","2016-04-05","2016-10-02",800
"dismo","2016-06-16","2016-10-02",15013
"disp2D","2012-10-06","2016-10-02",9316
"disparityfilter","2016-04-19","2016-10-02",1006
"displayHTS","2013-01-08","2016-10-02",9213
"dispmod","2012-10-10","2016-10-02",12567
"disposables","2015-07-13","2016-10-02",3411
"dissUtils","2014-06-02","2016-10-02",6332
"Distance","2016-08-10","2016-10-02",842
"distance.sample.size","2016-01-26","2016-10-02",1359
"DistatisR","2013-07-13","2016-10-02",9111
"distcomp","2015-10-28","2016-10-02",2451
"distdrawr","2016-09-18","2016-10-02",63
"distfree.cr","2012-11-28","2016-10-02",8692
"distillery","2015-07-24","2016-10-02",10882
"distory","2013-11-12","2016-10-02",11861
"distr","2016-04-23","2016-10-02",6907
"distrDoc","2016-04-24","2016-10-02",1495
"distrEllipse","2016-09-04","2016-10-02",469
"distrEx","2016-04-24","2016-10-02",3362
"DistributionUtils","2012-10-06","2016-10-02",59695
"distrMod","2016-09-04","2016-10-02",616
"distrom","2015-08-19","2016-10-02",7957
"distrRmetrics","2016-04-23","2016-10-02",985
"distrSim","2016-04-23","2016-10-02",1605
"distrTeach","2016-04-23","2016-10-02",1827
"distrTEst","2016-04-23","2016-10-02",1565
"divagis","2012-11-01","2016-10-02",10029
"DivE","2014-04-14","2016-10-02",6961
"diveMove","2016-02-06","2016-10-02",6061
"diverse","2016-06-03","2016-10-02",761
"diversitree","2015-12-21","2016-10-02",5357
"diveRsity","2015-11-22","2016-10-02",4405
"DiversityOccupancy","2016-06-19","2016-10-02",626
"DiversitySampler","2012-12-22","2016-10-02",10597
"DivMelt","2013-01-29","2016-10-02",9973
"divo","2016-01-07","2016-10-02",1772
"dixon","2013-03-13","2016-10-02",9764
"DJL","2016-09-28","2016-10-02",60
"dkDNA","2015-06-01","2016-10-02",3590
"DLASSO","2016-08-05","2016-10-02",237
"dlm","2014-09-16","2016-10-02",28195
"dlmap","2012-10-06","2016-10-02",11514
"dlmodeler","2014-02-11","2016-10-02",11984
"DLMtool","2016-08-12","2016-10-02",421
"dlnm","2016-05-10","2016-10-02",2366
"dlsem","2016-09-17","2016-10-02",111
"dlstats","2016-09-20","2016-10-02",111
"dma","2016-01-06","2016-10-02",2025
"dml","2015-08-29","2016-10-02",2637
"dmm","2016-04-12","2016-10-02",1016
"dMod","2016-09-30","2016-10-02",34
"DMR","2013-02-23","2016-10-02",9656
"DMRMark","2016-09-05","2016-10-02",134
"dmt","2013-12-12","2016-10-02",9757
"DMwR","2013-08-08","2016-10-02",85818
"DMwR2","2016-09-10","2016-10-02",187
"dna","2014-03-22","2016-10-02",7532
"DNAprofiles","2015-04-21","2016-10-02",4320
"DNAseqtest","2016-03-25","2016-10-02",976
"DNAtools","2016-07-13","2016-10-02",636
"dnc","2016-05-17","2016-10-02",604
"DnE","2014-12-10","2016-10-02",5706
"dnet","2016-05-31","2016-10-02",3513
"DNMF","2015-06-09","2016-10-02",3645
"DOBAD","2016-03-24","2016-10-02",1290
"doBy","2016-03-31","2016-10-02",39570
"docopt","2016-06-13","2016-10-02",5080
"docopulae","2016-06-23","2016-10-02",608
"documair","2014-09-23","2016-10-02",5219
"docxtractr","2016-07-20","2016-10-02",766
"Dodge","2013-09-18","2016-10-02",9516
"DODR","2016-05-30","2016-10-02",589
"DoE.base","2016-09-28","2016-10-02",535
"DoE.wrapper","2014-09-29","2016-10-02",16504
"doFuture","2016-09-08","2016-10-02",205
"doMC","2015-10-13","2016-10-02",33600
"Dominance","2016-06-03","2016-10-02",867
"domino","2016-07-10","2016-10-02",550
"doMPI","2014-12-20","2016-10-02",11798
"doParallel","2015-10-14","2016-10-02",548773
"doRedis","2014-04-03","2016-10-02",30773
"doRNG","2014-03-07","2016-10-02",42055
"DoseFinding","2016-07-27","2016-10-02",1183
"doSNOW","2015-10-14","2016-10-02",257143
"dosresmeta","2016-08-08","2016-10-02",488
"dostats","2015-05-29","2016-10-02",4505
"DOT","2016-04-16","2016-10-02",902
"DoTC","2016-06-18","2016-10-02",483
"dotenv","2016-04-07","2016-10-02",1718
"dotwhisker","2016-07-13","2016-10-02",701
"DoubleCone","2013-11-23","2016-10-02",8027
"DoubleExpSeq","2015-09-04","2016-10-02",2915
"DOvalidation","2014-11-10","2016-10-02",5218
"Dowd","2016-03-11","2016-10-02",1392
"downloader","2015-07-09","2016-10-02",49957
"downscale","2016-09-30","2016-10-02",31
"downsize","2016-09-22","2016-10-02",60
"dpa","2012-11-01","2016-10-02",9659
"DPBBM","2016-09-29","2016-10-02",16
"dpcR","2016-03-15","2016-10-02",1387
"dpglasso","2012-10-29","2016-10-02",8795
"dplR","2016-03-16","2016-10-02",7027
"dplRCon","2015-02-27","2016-10-02",4176
"dplyr","2016-06-24","2016-10-02",473014
"dpmixsim","2012-10-10","2016-10-02",12650
"dpmr","2016-03-07","2016-10-02",1227
"DPpackage","2012-10-06","2016-10-02",20520
"dprep","2015-11-24","2016-10-02",4257
"dr","2015-08-04","2016-10-02",6565
"drat","2016-08-07","2016-10-02",6556
"drawExpression","2012-10-10","2016-10-02",9245
"DRaWR","2016-02-05","2016-10-02",1368
"DrBats","2016-06-24","2016-10-02",522
"drc","2016-08-30","2016-10-02",2264
"DREGAR","2016-06-30","2016-10-02",405
"drfit","2016-09-03","2016-10-02",250
"drgee","2016-04-25","2016-10-02",1687
"DrillR","2016-06-29","2016-10-02",455
"DRIP","2015-09-26","2016-10-02",2439
"drLumi","2015-09-24","2016-10-02",2144
"drm","2012-11-01","2016-10-02",12592
"drmdel","2015-01-21","2016-10-02",4902
"dropR","2015-01-02","2016-10-02",4883
"DRR","2016-09-15","2016-10-02",90
"drsmooth","2015-09-25","2016-10-02",2724
"DrugClust","2016-04-23","2016-10-02",857
"ds","2014-09-02","2016-10-02",6501
"dsample","2015-11-30","2016-10-02",2201
"DSBayes","2014-01-11","2016-10-02",7962
"dse","2015-12-16","2016-10-02",8191
"DSL","2015-07-03","2016-10-02",5302
"dslice","2015-11-16","2016-10-02",2383
"dsm","2016-08-10","2016-10-02",575
"DSpat","2014-12-12","2016-10-02",10213
"DSsim","2016-08-10","2016-10-02",340
"dst","2015-01-14","2016-10-02",4570
"DstarM","2016-08-29","2016-10-02",167
"DStree","2014-08-20","2016-10-02",21132
"DSviaDRM","2015-05-12","2016-10-02",3473
"DT","2016-08-09","2016-10-02",32015
"dtables","2016-05-14","2016-10-02",733
"DTComPair","2014-02-16","2016-10-02",8777
"DTDA","2012-11-01","2016-10-02",11914
"dti","2016-09-14","2016-10-02",218
"DTK","2013-07-01","2016-10-02",13097
"DTMCPack","2013-05-30","2016-10-02",9284
"dtplyr","2016-06-27","2016-10-02",15201
"DTR","2015-12-31","2016-10-02",1762
"DTRlearn","2015-12-28","2016-10-02",1804
"DTRreg","2016-03-09","2016-10-02",1022
"dtt","2013-12-31","2016-10-02",12960
"dtw","2015-09-01","2016-10-02",31831
"dtwclust","2016-09-04","2016-10-02",628
"dtwSat","2016-07-19","2016-10-02",583
"dualScale","2014-01-28","2016-10-02",7691
"dummies","2012-10-10","2016-10-02",42882
"dummy","2015-05-07","2016-10-02",8083
"dunn.test","2016-01-06","2016-10-02",8779
"DunnettTests","2013-12-14","2016-10-02",8582
"dupiR","2014-12-29","2016-10-02",5092
"dvfBm","2012-10-06","2016-10-02",10203
"DVHmetrics","2016-07-29","2016-10-02",471
"dvn","2016-06-07","2016-10-02",1142
"DWreg","2016-07-18","2016-10-02",470
"dygraphs","2016-09-14","2016-10-02",6400
"DYM","2016-01-22","2016-10-02",1749
"dyn","2012-12-22","2016-10-02",30204
"DynamicDistribution","2013-12-05","2016-10-02",7465
"dynamicGraph","2012-10-06","2016-10-02",13929
"dynamicTreeCut","2016-03-11","2016-10-02",18154
"dynatopmodel","2016-01-06","2016-10-02",2276
"dynaTree","2016-06-06","2016-10-02",802
"dynBiplotGUI","2015-04-27","2016-10-02",4065
"DynClust","2014-04-25","2016-10-02",7711
"dynCorr","2012-11-01","2016-10-02",9797
"dynia","2014-05-17","2016-10-02",5964
"dynlm","2016-08-06","2016-10-02",7937
"DynNom","2016-09-27","2016-10-02",96
"dynpanel","2016-08-28","2016-10-02",128
"dynpred","2015-07-14","2016-10-02",3629
"dynr","2016-06-09","2016-10-02",660
"dynRB","2016-08-01","2016-10-02",409
"dynsim","2015-12-19","2016-10-02",2124
"dynsurv","2016-08-31","2016-10-02",406
"DynTxRegime","2015-06-11","2016-10-02",3280
"DySeq","2016-04-18","2016-10-02",732
"e1071","2015-08-05","2016-10-02",574646
"eaf","2015-01-07","2016-10-02",6076
"eAnalytics","2016-07-29","2016-10-02",325
"earlywarnings","2014-04-12","2016-10-02",10998
"earth","2016-09-05","2016-10-02",7928
"earthtones","2016-09-01","2016-10-02",171
"EasyABC","2015-09-02","2016-10-02",3620
"easyanova","2014-09-08","2016-10-02",8366
"easyformatr","2016-07-15","2016-10-02",444
"EasyHTMLReport","2013-08-13","2016-10-02",9865
"EasyMARK","2014-04-28","2016-10-02",7120
"easynls","2014-02-07","2016-10-02",7063
"easypackages","2016-01-28","2016-10-02",1442
"easypower","2015-11-06","2016-10-02",2116
"easyPubMed","2016-02-26","2016-10-02",1177
"EasyStrata","2014-06-24","2016-10-02",6516
"easyVerification","2016-09-28","2016-10-02",76
"eba","2016-04-19","2016-10-02",1625
"ebal","2014-01-27","2016-10-02",8849
"EBASS","2016-10-02","2016-10-02",5
"EbayesThresh","2012-11-01","2016-10-02",18223
"ebdbNet","2013-07-26","2016-10-02",11785
"EBEN","2015-10-07","2016-10-02",2779
"ebGenotyping","2016-04-13","2016-10-02",950
"EBglmnet","2016-01-30","2016-10-02",1837
"EBMAforecast","2016-02-10","2016-10-02",1827
"EBS","2016-06-23","2016-10-02",692
"ebSNP","2014-06-03","2016-10-02",5824
"ecb","2016-03-18","2016-10-02",1226
"ECctmc","2016-08-12","2016-10-02",292
"ecd","2016-07-10","2016-10-02",517
"Ecdat","2015-08-07","2016-10-02",37130
"ecdfHT","2016-09-10","2016-10-02",108
"ecespa","2015-07-04","2016-10-02",6287
"Ecfun","2016-05-08","2016-10-02",11504
"ECharts2Shiny","2016-09-06","2016-10-02",212
"ecipex","2014-08-09","2016-10-02",5819
"eco","2015-03-19","2016-10-02",4403
"ecodist","2013-12-03","2016-10-02",59521
"ecoengine","2016-05-25","2016-10-02",1078
"EcoGenetics","2016-07-15","2016-10-02",525
"EcoHydRology","2014-04-04","2016-10-02",12317
"ecolMod","2014-12-29","2016-10-02",6805
"EconDemand","2016-07-16","2016-10-02",338
"ecoreg","2015-09-24","2016-10-02",3134
"ecoretriever","2015-11-18","2016-10-02",2713
"ecosim","2014-02-12","2016-10-02",7631
"EcoSimR","2015-04-04","2016-10-02",4920
"ECOSolveR","2015-11-27","2016-10-02",2365
"ecospace","2015-10-29","2016-10-02",1954
"ecospat","2016-09-26","2016-10-02",169
"ecotoxicology","2015-10-14","2016-10-02",2134
"EcoTroph","2013-09-13","2016-10-02",9321
"ecoval","2014-10-18","2016-10-02",5068
"EcoVirtual","2016-06-29","2016-10-02",1216
"ecp","2016-09-27","2016-10-02",277
"ecr","2016-09-10","2016-10-02",132
"edcc","2013-01-18","2016-10-02",9191
"edci","2016-08-24","2016-10-02",331
"edeaR","2016-09-21","2016-10-02",132
"edeR","2014-02-17","2016-10-02",7303
"edesign","2015-09-04","2016-10-02",2556
"edf","2016-04-22","2016-10-02",740
"EDFIR","2015-07-17","2016-10-02",2903
"edfReader","2016-04-19","2016-10-02",868
"edfun","2016-08-27","2016-10-02",150
"edgar","2016-08-17","2016-10-02",535
"edgebundleR","2016-03-19","2016-10-02",1474
"edgeCorr","2016-03-16","2016-10-02",877
"edgeRun","2014-09-19","2016-10-02",6715
"EDISON","2016-03-30","2016-10-02",1286
"EditImputeCont","2016-02-19","2016-10-02",1367
"editrules","2015-06-11","2016-10-02",9200
"EDR","2016-09-14","2016-10-02",176
"edrGraphicalTools","2013-11-09","2016-10-02",8817
"edstan","2016-08-05","2016-10-02",246
"eechidna","2016-05-23","2016-10-02",746
"eegAnalysis","2014-06-23","2016-10-02",6628
"eegkit","2015-02-17","2016-10-02",4868
"eegkitdata","2014-09-10","2016-10-02",5857
"eel","2015-09-01","2016-10-02",2549
"EEM","2016-04-21","2016-10-02",1188
"eemR","2016-08-29","2016-10-02",239
"eeptools","2015-11-18","2016-10-02",6337
"EFDR","2015-04-04","2016-10-02",4107
"EffectLiteR","2016-03-28","2016-10-02",1251
"effects","2016-03-29","2016-10-02",94268
"EffectsRelBaseline","2013-09-25","2016-10-02",8359
"EffectStars","2016-09-03","2016-10-02",248
"EffectStars2","2016-09-01","2016-10-02",129
"EffectTreat","2015-07-07","2016-10-02",3254
"efflog","2015-07-16","2016-10-02",2730
"effsize","2016-08-01","2016-10-02",1898
"efreadr","2016-03-08","2016-10-02",912
"EFS","2016-08-02","2016-10-02",259
"ega","2015-02-19","2016-10-02",4548
"egcm","2015-11-13","2016-10-02",5340
"eggCounts","2016-07-29","2016-10-02",467
"egonet","2012-11-11","2016-10-02",10949
"EGRET","2016-07-27","2016-10-02",648
"EGRETci","2016-04-16","2016-10-02",973
"eha","2016-09-21","2016-10-02",714
"eHOF","2016-03-15","2016-10-02",1349
"ei","2016-03-25","2016-10-02",1270
"EIAdata","2015-03-10","2016-10-02",5645
"eiCompare","2016-09-06","2016-10-02",182
"eigeninv","2012-11-01","2016-10-02",10162
"eigenmodel","2012-10-10","2016-10-02",13242
"eigenprcomp","2013-07-28","2016-10-02",7807
"EILA","2013-09-14","2016-10-02",8314
"eiPack","2012-10-06","2016-10-02",11824
"eive","2014-07-05","2016-10-02",6450
"eiwild","2014-03-06","2016-10-02",7241
"EL","2012-10-10","2016-10-02",9579
"elasso","2015-10-06","2016-10-02",2299
"elastic","2016-08-25","2016-10-02",1122
"elasticIsing","2016-09-11","2016-10-02",105
"elasticnet","2012-10-06","2016-10-02",57129
"elec","2012-11-01","2016-10-02",9460
"elec.strat","2012-10-10","2016-10-02",8987
"electionsBR","2016-08-18","2016-10-02",276
"elementR","2016-08-31","2016-10-02",172
"ElemStatLearn","2015-06-27","2016-10-02",35131
"elexr","2016-02-04","2016-10-02",1193
"elhmc","2016-09-28","2016-10-02",18
"elliplot","2013-10-01","2016-10-02",7461
"ellipse","2013-04-13","2016-10-02",308901
"elliptic","2016-05-26","2016-10-02",7957
"elmNN","2012-10-06","2016-10-02",13980
"ELMR","2015-11-28","2016-10-02",1789
"EloChoice","2015-10-12","2016-10-02",2279
"EloRating","2014-11-23","2016-10-02",6131
"elrm","2013-12-07","2016-10-02",11957
"ElstonStewart","2014-06-13","2016-10-02",6589
"ELT","2016-04-11","2016-10-02",1143
"ELYP","2015-08-07","2016-10-02",3091
"EMA","2016-09-07","2016-10-02",294
"EMbC","2016-03-22","2016-10-02",1236
"embryogrowth","2016-10-02","2016-10-02",12
"EMC","2012-10-06","2016-10-02",11236
"EMCluster","2015-10-19","2016-10-02",5649
"EMD","2014-01-31","2016-10-02",14552
"emdbook","2016-02-11","2016-10-02",11136
"emdist","2012-12-02","2016-10-02",10918
"emg","2015-04-22","2016-10-02",4494
"emil","2016-06-21","2016-10-02",800
"emIRT","2016-07-29","2016-10-02",466
"EmiStatR","2016-07-23","2016-10-02",308
"emma","2012-10-06","2016-10-02",10423
"EMMAgeo","2016-03-19","2016-10-02",1340
"emme2","2013-01-26","2016-10-02",11522
"EMMIXcontrasts","2014-02-23","2016-10-02",6991
"EMMIXskew","2013-11-14","2016-10-02",8876
"EMMIXuskew","2014-08-05","2016-10-02",6951
"EMMLi","2016-07-13","2016-10-02",380
"EMMREML","2015-07-22","2016-10-02",4529
"emoa","2012-10-06","2016-10-02",22039
"emojifont","2016-06-29","2016-10-02",806
"emon","2016-09-22","2016-10-02",54
"emov","2016-04-04","2016-10-02",1029
"EMP","2015-01-15","2016-10-02",5398
"EmpiricalCalibration","2016-08-16","2016-10-02",440
"empiricalFDR.DESeq2","2015-05-27","2016-10-02",3457
"emplik","2016-08-15","2016-10-02",1021
"emplik2","2015-02-05","2016-10-02",5167
"EMSaov","2016-08-15","2016-10-02",197
"EMSC","2016-04-24","2016-10-02",779
"EMT","2013-01-30","2016-10-02",12150
"emulator","2014-09-08","2016-10-02",13564
"emuR","2016-08-05","2016-10-02",386
"EMVC","2013-08-29","2016-10-02",8061
"enaR","2015-08-07","2016-10-02",3407
"endogMNP","2012-10-10","2016-10-02",9562
"endorse","2014-05-04","2016-10-02",7160
"endtoend","2016-09-11","2016-10-02",95
"energy","2016-08-26","2016-10-02",4641
"energyr","2016-09-24","2016-10-02",76
"english","2012-10-10","2016-10-02",10171
"EngrExpt","2012-11-01","2016-10-02",11426
"engsoccerdata","2016-06-13","2016-10-02",621
"enigma","2015-07-08","2016-10-02",3509
"ENiRG","2016-05-05","2016-10-02",908
"ENMeval","2016-01-04","2016-10-02",2815
"ENmisc","2013-04-02","2016-10-02",26235
"enpls","2016-09-15","2016-10-02",692
"EnQuireR","2012-10-06","2016-10-02",11473
"enRich","2015-10-24","2016-10-02",1952
"enrichvs","2012-10-10","2016-10-02",9314
"enrichwith","2016-09-03","2016-10-02",143
"EnsembleBase","2016-09-13","2016-10-02",234
"ensembleBMA","2016-06-19","2016-10-02",1809
"EnsembleCV","2016-09-13","2016-10-02",186
"ensembleMOS","2013-03-18","2016-10-02",8760
"EnsemblePCReg","2016-09-14","2016-10-02",169
"EnsemblePenReg","2016-09-14","2016-10-02",168
"ensembleR","2016-09-25","2016-10-02",52
"ensurer","2015-04-21","2016-10-02",5578
"entropart","2016-02-17","2016-10-02",2061
"entropy","2014-11-14","2016-10-02",46563
"EntropyEstimation","2015-01-04","2016-10-02",5862
"EntropyExplorer","2015-06-11","2016-10-02",3478
"enveomics.R","2016-08-16","2016-10-02",302
"enviPat","2016-10-02","2016-10-02",11
"enviPick","2016-06-06","2016-10-02",799
"envirem","2016-09-17","2016-10-02",73
"EnviroStat","2015-06-03","2016-10-02",3867
"envlpaster","2016-02-17","2016-10-02",1184
"EnvNicheR","2016-08-08","2016-10-02",349
"EnvStats","2016-06-14","2016-10-02",2994
"epade","2013-02-22","2016-10-02",10637
"epandist","2016-02-04","2016-10-02",1380
"epanetReader","2016-08-10","2016-10-02",394
"EPGLM","2016-08-23","2016-10-02",284
"Epi","2016-01-06","2016-10-02",18555
"epibasix","2012-11-16","2016-10-02",13154
"EpiBayes","2015-06-24","2016-10-02",3158
"EpiContactTrace","2015-07-03","2016-10-02",3834
"epiDisplay","2015-11-03","2016-10-02",5870
"EpiDynamics","2015-12-03","2016-10-02",2151
"EpiEstim","2013-03-08","2016-10-02",10671
"epifit","2016-05-06","2016-10-02",867
"EpiModel","2016-07-30","2016-10-02",2133
"epinet","2016-02-21","2016-10-02",1574
"epiR","2016-07-18","2016-10-02",5961
"episensr","2016-02-04","2016-10-02",1413
"episheet","2016-09-05","2016-10-02",140
"episplineDensity","2014-11-11","2016-10-02",5083
"epitools","2012-10-02","2016-10-02",58576
"EpiWeek","2016-04-28","2016-10-02",726
"Eplot","2014-08-29","2016-10-02",5772
"epoc","2013-08-26","2016-10-02",9469
"epr","2013-07-30","2016-10-02",8581
"EQL","2012-10-06","2016-10-02",10856
"eqs2lavaan","2013-11-18","2016-10-02",7837
"eqtl","2012-10-10","2016-10-02",10373
"equate","2016-04-26","2016-10-02",1766
"equateIRT","2016-07-25","2016-10-02",716
"equivalence","2016-05-14","2016-10-02",1780
"erah","2016-09-03","2016-10-02",192
"erboost","2015-08-28","2016-10-02",2997
"erer","2016-02-25","2016-10-02",8270
"ergm","2016-03-25","2016-10-02",17124
"ergm.count","2016-03-29","2016-10-02",10774
"ergm.ego","2016-03-27","2016-10-02",917
"ergm.graphlets","2015-06-11","2016-10-02",3442
"ergm.rank","2016-04-01","2016-10-02",810
"ergm.userterms","2013-11-28","2016-10-02",12531
"ergmharris","2013-05-12","2016-10-02",8116
"eRm","2015-11-12","2016-10-02",9080
"ERP","2015-12-14","2016-10-02",2126
"erp.easy","2016-01-29","2016-10-02",1297
"erpR","2014-05-14","2016-10-02",6330
"errint","2016-01-19","2016-10-02",1383
"ES","2013-08-14","2016-10-02",8244
"esaBcv","2015-05-29","2016-10-02",3487
"esc","2016-09-07","2016-10-02",144
"ESEA","2015-01-22","2016-10-02",5739
"ESG","2013-01-15","2016-10-02",13086
"ESGtoolkit","2014-06-13","2016-10-02",7349
"ESKNN","2015-09-13","2016-10-02",2509
"estatapi","2016-08-12","2016-10-02",297
"EstCRM","2015-07-13","2016-10-02",4565
"EstHer","2015-07-23","2016-10-02",2828
"estimability","2015-09-03","2016-10-02",42722
"estout","2013-02-26","2016-10-02",10658
"EstSimPDMP","2014-11-26","2016-10-02",5196
"etable","2013-12-11","2016-10-02",8321
"ETAS","2016-02-07","2016-10-02",1652
"etasFLP","2015-06-03","2016-10-02",3756
"ETC","2012-10-06","2016-10-02",11199
"etl","2016-09-26","2016-10-02",113
"ETLUtils","2015-05-18","2016-10-02",5296
"etm","2014-12-09","2016-10-02",25587
"etma","2016-04-10","2016-10-02",1023
"etrunct","2016-07-04","2016-10-02",400
"etseed","2016-09-08","2016-10-02",113
"eulerian","2014-02-22","2016-10-02",6742
"euroMix","2015-12-16","2016-10-02",1590
"europepmc","2016-07-13","2016-10-02",432
"EurosarcBayes","2015-11-18","2016-10-02",1913
"eurostat","2016-09-14","2016-10-02",478
"eva","2016-09-20","2016-10-02",117
"EvalEst","2015-05-02","2016-10-02",9734
"evaluate","2016-04-29","2016-10-02",501603
"EvaluationMeasures","2016-07-27","2016-10-02",277
"Evapotranspiration","2016-04-08","2016-10-02",1546
"evclass","2016-07-01","2016-10-02",696
"evclust","2016-09-04","2016-10-02",339
"EvCombR","2014-04-24","2016-10-02",6904
"evd","2015-12-25","2016-10-02",30307
"evdbayes","2014-03-31","2016-10-02",15371
"eVenn","2016-09-12","2016-10-02",277
"eventInterval","2015-10-20","2016-10-02",2426
"events","2012-10-10","2016-10-02",12461
"eventstudies","2013-05-08","2016-10-02",9544
"evidenceFactors","2016-08-24","2016-10-02",152
"evir","2012-10-10","2016-10-02",32850
"evmix","2015-05-27","2016-10-02",4396
"evobiR","2015-09-06","2016-10-02",4243
"evolqg","2016-06-04","2016-10-02",814
"evolvability","2015-06-02","2016-10-02",3511
"Evomorph","2016-02-26","2016-10-02",1055
"evoper","2016-06-30","2016-10-02",426
"EvoRAG","2014-07-08","2016-10-02",6387
"evt0","2013-12-24","2016-10-02",7028
"evtree","2014-10-15","2016-10-02",17343
"EW","2015-05-03","2016-10-02",3089
"EWGoF","2015-05-29","2016-10-02",3789
"Exact","2015-05-26","2016-10-02",5321
"exact2x2","2015-02-26","2016-10-02",8269
"exactci","2015-07-03","2016-10-02",6593
"ExactCIdiff","2013-07-04","2016-10-02",9271
"exactLoglinTest","2013-02-05","2016-10-02",14479
"exactmeta","2014-09-02","2016-10-02",6127
"ExactPath","2013-02-08","2016-10-02",8977
"exactRankTests","2015-02-20","2016-10-02",17555
"exams","2015-11-24","2016-10-02",3606
"ExceedanceTools","2014-07-30","2016-10-02",7093
"excel.link","2016-09-24","2016-10-02",220
"exCon","2016-01-26","2016-10-02",1756
"excursions","2016-07-21","2016-10-02",482
"exif","2015-12-14","2016-10-02",605
"exifr","2016-02-05","2016-10-02",1409
"ExomeDepth","2016-05-15","2016-10-02",964
"expandFunctions","2016-10-01","2016-10-02",12
"expands","2016-04-04","2016-10-02",2203
"ExpDE","2016-03-28","2016-10-02",884
"ExpDes","2013-05-07","2016-10-02",12807
"ExpDes.pt","2013-05-08","2016-10-02",13029
"expectreg","2014-03-05","2016-10-02",9030
"experiment","2013-03-30","2016-10-02",11782
"expert","2012-10-10","2016-10-02",9780
"ExplainPrediction","2015-09-08","2016-10-02",2819
"explor","2016-03-24","2016-10-02",1666
"exploreR","2016-02-10","2016-10-02",1091
"expm","2015-10-07","2016-10-02",106335
"expoRkit","2012-10-10","2016-10-02",10139
"ExPosition","2013-12-11","2016-10-02",11269
"expoTree","2013-09-03","2016-10-02",10206
"expp","2014-08-05","2016-10-02",6091
"exprso","2016-09-27","2016-10-02",23
"expsmooth","2015-04-09","2016-10-02",646006
"expss","2016-07-08","2016-10-02",291
"exptest","2013-12-01","2016-10-02",7836
"exreport","2016-02-01","2016-10-02",1317
"EXRQ","2016-07-07","2016-10-02",370
"exsic","2014-10-01","2016-10-02",5719
"ExtDist","2015-05-30","2016-10-02",4793
"extfunnel","2013-12-28","2016-10-02",7943
"extlasso","2014-08-19","2016-10-02",4870
"extraBinomial","2012-10-10","2016-10-02",8700
"extracat","2015-11-21","2016-10-02",3220
"extraDistr","2016-07-29","2016-10-02",613
"extrafont","2014-12-08","2016-10-02",74366
"extrafontdb","2012-10-10","2016-10-02",79314
"extraTrees","2014-12-27","2016-10-02",17201
"ExtremeBounds","2016-08-26","2016-10-02",456
"extremefit","2016-06-01","2016-10-02",675
"extRemes","2016-08-30","2016-10-02",1777
"extremeStat","2016-05-12","2016-10-02",672
"extremevalues","2016-01-20","2016-10-02",3741
"extremogram","2016-03-28","2016-10-02",992
"extWeibQuant","2014-12-04","2016-10-02",4924
"eyelinker","2016-04-21","2016-10-02",757
"eyetracking","2012-11-01","2016-10-02",9064
"eyetrackingR","2016-03-17","2016-10-02",1311
"ez","2015-11-13","2016-10-02",33660
"ezec","2016-06-10","2016-10-02",615
"ezglm","2012-10-10","2016-10-02",8853
"ezknitr","2016-09-16","2016-10-02",305
"ezsim","2014-06-26","2016-10-02",9054
"ezsummary","2016-07-11","2016-10-02",533
"face","2016-04-28","2016-10-02",781
"FacPad","2014-03-28","2016-10-02",7730
"FactMixtAnalysis","2012-11-01","2016-10-02",10465
