"package","firstDownload","lastDownload","totalDownloads"
"alineR","2016-04-01","2016-10-02",1387
"ALKr","2014-02-26","2016-10-02",10354
"allan","2012-11-01","2016-10-02",12326
"allanvar","2015-07-08","2016-10-02",4236
"alleHap","2016-07-17","2016-10-02",666
"allelematch","2014-09-19","2016-10-02",7727
"AlleleRetain","2013-06-30","2016-10-02",11547
"allelic","2012-10-10","2016-10-02",12305
"AllPossibleSpellings","2012-11-01","2016-10-02",12679
"alluvial","2016-09-10","2016-10-02",342
"alm","2015-03-13","2016-10-02",7195
"alphahull","2016-02-15","2016-10-02",8262
"alphaOutlier","2016-09-10","2016-10-02",257
"alphashape3d","2016-02-09","2016-10-02",2393
"alr3","2012-10-06","2016-10-02",70195
"alr4","2014-09-26","2016-10-02",50471
"ALS","2015-08-03","2016-10-02",6180
"ALSCPC","2013-09-09","2016-10-02",10249
"ALSM","2016-09-10","2016-10-02",158
"altmeta","2016-09-13","2016-10-02",247
"ALTopt","2015-08-28","2016-10-02",4341
"amap","2014-12-17","2016-10-02",61871
"AMAP.Seq","2012-10-10","2016-10-02",12028
"AMCP","2016-03-02","2016-10-02",1661
"ameco","2016-05-04","2016-10-02",1164
"amei","2013-12-13","2016-10-02",10379
"Amelia","2015-12-06","2016-10-02",46547
"amen","2015-06-26","2016-10-02",4449
"AmericanCallOpt","2012-10-10","2016-10-02",16173
"AMGET","2013-08-03","2016-10-02",10337
"aml","2013-11-29","2016-10-02",9126
"AMOEBA","2014-08-23","2016-10-02",12217
"AMORE","2014-04-14","2016-10-02",18274
"AmostraBrasil","2016-07-26","2016-10-02",671
"AmpliconDuo","2016-01-19","2016-10-02",2597
"AmyloGram","2016-09-24","2016-10-02",66
"anacor","2015-07-23","2016-10-02",6495
"analogsea","2016-08-25","2016-10-02",377
"analogue","2016-02-28","2016-10-02",4020
"analogueExtra","2016-04-10","2016-10-02",1337
"analyz","2015-02-17","2016-10-02",5417
"AnalyzeFMRI","2013-03-19","2016-10-02",22097
"AnalyzeTS","2016-09-11","2016-10-02",288
"anametrix","2016-07-28","2016-10-02",568
"anapuce","2012-11-01","2016-10-02",11777
"AncestryMapper","2016-09-28","2016-10-02",70
"anchors","2014-02-28","2016-10-02",10951
"AnDE","2013-07-26","2016-10-02",10837
"andrews","2012-11-01","2016-10-02",13660
"anesrake","2016-06-15","2016-10-02",1190
"anfis","2015-01-16","2016-10-02",5735
"AnglerCreelSurveySimulation","2015-01-04","2016-10-02",6240
"anim.plots","2014-11-06","2016-10-02",6872
"animalTrack","2013-09-25","2016-10-02",10587
"animation","2015-08-16","2016-10-02",73963
"ANLP","2016-07-11","2016-10-02",675
"AnnotLists","2012-10-10","2016-10-02",14874
"anoint","2015-07-19","2016-10-02",3781
"ANOM","2016-02-15","2016-10-02",2300
"anominate","2014-10-09","2016-10-02",6921
"anonymizer","2015-09-08","2016-10-02",3268
"AntAngioCOOL","2016-08-02","2016-10-02",329
"AnthropMMD","2016-04-07","2016-10-02",1700
"Anthropometry","2015-12-12","2016-10-02",3075
"antitrust","2015-11-23","2016-10-02",2999
"AntWeb","2014-08-14","2016-10-02",14060
"anytime","2016-09-15","2016-10-02",364
"aod","2012-10-06","2016-10-02",92848
"aods3","2013-06-18","2016-10-02",11712
"aoos","2015-10-11","2016-10-02",3448
"aop","2016-03-31","2016-10-02",1363
"aoristic","2015-01-10","2016-10-02",6228
"apa","2016-08-21","2016-10-02",267
"ApacheLogProcessor","2016-08-16","2016-10-02",807
"apaStyle","2016-05-18","2016-10-02",1427
"apaTables","2015-11-21","2016-10-02",3847
"apc","2016-03-21","2016-10-02",1732
"apcluster","2016-02-24","2016-10-02",6814
"ape","2016-05-24","2016-10-02",76232
"apex","2016-03-31","2016-10-02",1996
"aplore3","2014-12-22","2016-10-02",5795
"aplpack","2014-09-26","2016-10-02",182909
"apmsWAPP","2014-04-22","2016-10-02",7399
"appell","2013-04-16","2016-10-02",11011
"apple","2012-10-06","2016-10-02",11313
"AppliedPredictiveModeling","2014-07-25","2016-10-02",50536
"appnn","2015-07-12","2016-10-02",3497
"approximator","2013-12-08","2016-10-02",12267
"aprean3","2015-05-09","2016-10-02",4242
"apricom","2015-11-24","2016-10-02",2400
"aprof","2016-03-25","2016-10-02",1884
"APSIM","2016-06-06","2016-10-02",1219
